id,voucher_id,ledger_id,debit,credit,department_id,project_id,remarks,segment_id,employee_id
1,1,2,2000.0,0.0,,,,,
2,1,1,0.0,2000.0,,,,,
1077,441,737,0.0,250000.0,6.0,2.0,,,
1078,441,738,250000.0,0.0,6.0,2.0,,,
234,169,195,0.0,2500.0,,,,,
235,169,202,2500.0,0.0,,,,,
705,320,653,100.0,0.0,,,,,
706,320,654,0.0,100.0,,,,,
1081,443,739,171.12,0.0,,,computer (FA) [5999] | Computers | Rate: 25.0% (STRAIGHT LINE),,
1082,443,740,0.0,171.12,,,computer (FA) [5999] | Computers | Rate: 25.0% (STRAIGHT LINE),,
1089,447,645,100000.0,0.0,2.0,2.0,,,
1090,447,123,0.0,100000.0,2.0,2.0,,,
376,238,68,0.0,452.0,,,,,
377,238,42,400.0,0.0,,,,,
378,238,257,52.0,0.0,,,,,
423,256,223,0.0,500.0,,,,,
424,256,270,500.0,0.0,,,,,
427,258,223,0.0,0.0,,,,,
428,259,223,0.0,0.0,,,,,
430,225,223,100000.0,0.0,,,,,
431,225,250,0.0,100000.0,,,,,
433,263,223,0.0,2500.0,,,,,
434,263,270,2500.0,0.0,,,,,
437,265,223,0.0,500.0,,,,,
438,265,270,500.0,0.0,,,,,
439,266,223,0.0,500.0,,,,,
440,266,270,500.0,0.0,,,,,
1117,453,274,9605.0,0.0,,,,,
1118,453,107,0.0,8500.0,,,,,
1119,453,100,0.0,1105.0,,,,,
1120,453,277,5000.0,0.0,,,,,
1121,453,276,0.0,5000.0,,,,,
1127,449,645,5000.0,0.0,,,,,
1128,449,645,0.0,5000.0,,,,,
1129,449,98,5000.0,0.0,,,,,
1130,449,123,0.0,5000.0,,,,,
1146,451,645,4802.5,0.0,,,,,
1147,451,645,0.0,4802.5,,,,,
563,301,9,100.0,0.0,4.0,,,,
1148,451,98,4802.5,0.0,,,,,
1149,451,107,0.0,4250.0,,,,,
564,301,23,0.0,100.0,4.0,,,,
567,303,9,100.0,0.0,4.0,,,,
568,303,23,0.0,100.0,4.0,,,,
1150,451,100,0.0,552.5,,,,,
1153,455,274,9000.0,0.0,,,,,
1154,455,274,0.0,9000.0,,,,,
1155,455,98,9000.0,0.0,,,,,
1156,455,107,0.0,9000.0,,,,,
1185,458,274,1921.0,0.0,,,,,
1186,458,274,0.0,1921.0,,,,,
1187,458,98,1921.0,0.0,,,,,
1188,458,107,0.0,1700.0,,,,,
1189,458,100,0.0,221.0,,,,,
1190,458,277,1000.0,0.0,,,,,
1191,458,276,0.0,1000.0,,,,,
1194,460,274,960.5,0.0,,,,,
1195,460,274,0.0,960.5,,,,,
1196,460,98,960.5,0.0,,,,,
1197,460,107,0.0,850.0,,,,,
678,268,269,4000.0,0.0,,,,,
679,268,269,0.0,4000.0,,,,,
680,268,223,4000.0,0.0,,,,,
681,268,233,0.0,4000.0,,,,,
682,268,273,2500.0,0.0,,,,,
683,268,270,0.0,2500.0,,,,,
684,286,267,21000.0,0.0,,,,,
685,286,76,0.0,21000.0,,,,,
