id,company_id,tenant_id,name,ledger_id,is_active,created_at,updated_at,ledger_group_id
41,14,12,Wallet,783,False,2026-03-15 02:31:13.834764+00:00,2026-03-15 02:33:00.735257+00:00,
42,27,1,Cash,651,True,2026-03-24 22:56:18.006561+00:00,2026-03-24 22:56:18.006566+00:00,
43,27,1,Bank,813,True,2026-03-24 22:56:18.006569+00:00,2026-03-24 22:56:18.006571+00:00,
44,28,1,Cash,653,True,2026-03-24 22:56:18.259628+00:00,2026-03-24 22:56:18.259633+00:00,
45,28,1,Bank,844,True,2026-03-24 22:56:18.259636+00:00,2026-03-24 22:56:18.259638+00:00,
46,31,1,Cash,874,True,2026-03-24 22:56:18.505862+00:00,2026-03-24 22:56:18.505867+00:00,
47,31,1,Bank,876,True,2026-03-24 22:56:18.505870+00:00,2026-03-24 22:56:18.505872+00:00,
48,32,1,Cash,906,True,2026-03-24 22:56:18.703591+00:00,2026-03-24 22:56:18.703596+00:00,
49,32,1,Bank,908,True,2026-03-24 22:56:18.703598+00:00,2026-03-24 22:56:18.703600+00:00,
50,33,1,Cash,938,True,2026-03-24 22:56:18.902743+00:00,2026-03-24 22:56:18.902747+00:00,
51,33,1,Bank,940,True,2026-03-24 22:56:18.902749+00:00,2026-03-24 22:56:18.902751+00:00,
17,3,2,Bank,1,True,2025-12-14 13:30:40.367640+00:00,2026-03-27 08:40:41.779406+00:00,
22,6,10,Bank,264,True,2025-12-14 13:30:40.862300+00:00,2026-03-27 08:40:41.779410+00:00,
24,14,12,Bank,98,True,2025-12-14 13:30:40.982891+00:00,2026-03-27 10:15:16.503615+00:00,274.0
52,40,24,Cash,977,True,2026-03-28 11:44:02.983230+00:00,2026-03-28 11:44:02.983251+00:00,
53,40,24,Bank,979,True,2026-03-28 11:44:02.983254+00:00,2026-03-28 11:44:02.983256+00:00,
54,21,17,Nabil Bank A/C,1047,True,2026-04-04 22:49:25.572175+00:00,2026-04-04 22:49:25.572179+00:00,
23,14,12,Cash,96,True,2025-12-14 13:30:40.982884+00:00,2026-04-07 08:07:08.770211+00:00,273.0
55,46,34,Cash,1049,True,2026-04-12 05:10:46.721014+00:00,2026-04-12 05:10:46.721020+00:00,
56,46,34,Bank,1051,True,2026-04-12 05:10:46.721023+00:00,2026-04-12 05:10:46.721027+00:00,
57,47,35,Cash,1082,True,2026-04-13 04:32:29.079522+00:00,2026-04-13 04:32:29.079527+00:00,
58,47,35,Bank,1084,True,2026-04-13 04:32:29.079529+00:00,2026-04-13 04:32:29.079531+00:00,
